**  A character list of Wenzhou region pronunciations
**
**  The following symbols are used
**
**  1 (Following a character) most common pronunciation
**  2 (Following a character) second most common pronunciation
**  3 (Following a character) third most common pronunciation
**  4 (Following a character) fourth most common pronunciation
**  - (Following a character) Wendu (文读) pronunciation
**  = (Following a character) Baidu (白读) pronunciation
**  {}   Brackets comments
**  **   Starts a commented line
**  []   Indicates a unicode ideographic description sequence.
**  #    Stands in place of a character which has no unicode representation
**
**
**
** page 392 **
a213	鸭阿1押压螠
a33	啊挨
a35	矮
ba213	百伯柏迫八1=擘1=
ba33	爸班扳斑叭菠2-
ba35	反2-板摆版猈
ba42	扮拜絆2欛瓣2
bba213	白帛
bba22	办败
bba31	排爿牌篺
bba35	罢
ca213	擦策拆插察册
ca33	餐搀叉1=差1钗
ca35	产铲
ca42	灿蔡忏蔕谶
da213	搭瘩嗒溚笪沓2
da33	单1丹耽担1
da35	胆掸疸
da42	带旦诞戴2-担2
dda213	踏涾达1=挞闼蹈2-鱣
dda22	大1=但蛋弹淊#坦2
** page 393 **
dda31	谈痰谭燂檀汏坛1
dda35	淡氮拕袒2=坛2
fa213	豁2
fa33	翻番1#藩
fa35	反1=返=
fa42	泛贩番2㽹
ga213	甲格革隔夹挟1蛱埉浃荚胛疙嘎1䀫{i think the 埉 character is probably wrong}
ga33	关街艰阶皆偕奸尬更3间1监1狡2-呱2
ga35	简减柬拣解1裥扴拐铰2-
ga42	介界惯诫届戒怪鉴谏碱庎芥监2间2校3-解2
gga213	轧峡挟2-
gga22	茄1环2-陷2-馅2-
gga31	衔嘎2何2-怀2-
gga35	擐解3
ha213	瞎喝赫吓2哈2呷欱䛅㾎
ha33	哈1
ha35	蟹喊1#
ha42	匄
hha213	狭匣洽何3-也2-
hha22	械懈陷1=馅1=
hha31	鞋闲咸函衡嫌骸1娴黄2
hha35	限谐喊2
ia213	约
ia33	呀丫1=
ia35	野2-
ja213	脚1爵酌灼斫着2角2
ja33	迦
ja35	脚2
** page 394 **
jja213	着1鐯
ka213	客恰掐揢1
ka33	宽铅揩咖
ka35	槛卡楷舰
ka42	快嵌䁍
la213	腊蜡辣剌癫邋垺
la22	烂滥赖1拉2攋缆
la31	兰栏拦蓝篮𫷌[⿰舍闌]
la33	拉1啦喇赖2
la35	览揽榄懒澜
ma213	脉麦埋2陌
ma22	慢卖漫=万2-迈
ma31	骂埋1蛮1=曼䟂
ma33	蛮2-
ma35	买妈挽2-晚2-
na213	拿呐捺滩2
na22	奈难2
na31	难1
na33	奶1妳南2
na35	那哪乃鼐奶2女2
nga213	额齾
nga22	雁捱
nga31	岩颜崖涯癌摨
nga33	眼2
nga35	眼1蚁2
nya213	捏搦溺箬镊2
nya31	尧尿1=
nya33	蛲
** page 395 **
nya35	鸟1=
pa213	拍珀魄擘2𤖼
pa33	攀
